name,datatype
identifierAddressStreet2ItemType,xbrli:stringItemType
identifierCityItemType,xbrli:stringItemType
identifierStateOrProvinceItemType,xbrli:stringItemType
identifierCountryItemType,xbrli:stringItemType
identifierZipOrPostalCodeItemType,xbrli:stringItemType
documentReceivedDateItemType,xbrli:dateTimeItemType
documentChargeReimbItemType,xbrli:stringItemType
documentLocationItemType,xbrli:stringItemType
paymentMethodItemType,xbrli:stringItemType
measurableCategoryItemType,xbrli:stringItemType
measurableIDItemType,xbrli:stringItemType
measurableIDSchemaItemType,xbrli:stringItemType
measurableIDOtherItemType,xbrli:stringItemType
measurableIDOtherSchemaItemType,xbrli:stringItemType
measurableDescriptionItemType,xbrli:stringItemType
measurableQuantityItemType,xbrli:decimalItemType
measurableQualifierItemType,xbrli:tokenItemType
measurableUnitOfMeasureItemType,xbrli:stringItemType
measurableCostPerUnitItemType,xbrli:monetaryItemType
measurableStartDateTimeItemType,xbrli:dateTimeItemType
measurableEndDateTimeItemType,xbrli:dateTimeItemType
dmMethodTypeItemType,xbrli:stringItemType
dmLifeLengthItemType,xbrli:decimalItemType
dmCommentItemType,xbrli:stringItemType
dmDateItemType,xbrli:dateTimeItemType
dmAmountItemType,xbrli:monetaryItemType
periodUnitDescriptionItemType,xbrli:stringItemType
organizationAccountingMethodPurposeDescriptionItemType,xbrli:stringItemType
organizationAccountingMethodDescriptionItemType,xbrli:stringItemType
accountantEngagementTypeDescriptionItemType,xbrli:stringItemType
measurableCodeDescriptionItemType,xbrli:stringItemType
organizationAccountingMethodPurposeDefaultDescriptionItemType,xbrli:stringItemType
reportingPurposeDescriptionItemType,xbrli:stringItemType
entryAccountingMethodDescriptionItemType,xbrli:stringItemType
entryAccountingMethodPurposeDescriptionItemType,xbrli:stringItemType
organizationAddressNameItemType,xbrli:stringItemType
organizationAddressDescriptionItemType,xbrli:stringItemType
organizationAddressPurposeItemType,xbrli:stringItemType
locationIdentifierItemType,xbrli:stringItemType
organizationBuildingNumberItemType,xbrli:stringItemType
organizationAddressStreetItemType,xbrli:stringItemType
organizationAddressStreet2ItemType,xbrli:stringItemType
organizationAddressCityItemType,xbrli:stringItemType
organizationAddressStateOrProvinceItemType,xbrli:stringItemType
organizationAddressZipOrPostalCodeItemType,xbrli:stringItemType
organizationAddressCountryItemType,xbrli:stringItemType
creatorItemType,xbrli:stringItemType
periodCountItemType,xbrli:decimalItemType
sourceApplicationItemType,xbrli:stringItemType
targetApplicationItemType,xbrli:stringItemType
measurableClassDescriptionItemType,xbrli:stringItemType
costingMethodDescriptionItemType,xbrli:stringItemType
geospatialCoordinateItemType,xbrli:stringItemType
serialLotDescriptionItemType,xbrli:stringItemType
serialLotNumberItemType,xbrli:stringItemType
nextSerialLotNumberItemType,xbrli:stringItemType
serialLotQuantityItemType,xbrli:decimalItemType
serialLotOriginalQuantityItemType,xbrli:decimalItemType
serialLotRemainingQuantityItemType,xbrli:decimalItemType
serialLotOriginationItemType,xbrli:dateTimeItemType
serialLotExpirationItemType,xbrli:dateTimeItemType
serialLotManufacturerItemType,xbrli:stringItemType
serialLotBatchDescriptionItemType,xbrli:stringItemType
serialLotWarrantyStartDateItemType,xbrli:dateTimeItemType
serialLotWarrantyEndDateItemType,xbrli:dateTimeItemType
serialLotWarrantyPeriodItemType,xbrli:decimalItemType
serialLotWarrantyPeriodUnitItemType,xbrli:stringItemType
serialLotWarrantyVendorItemType,xbrli:stringItemType
serialLotWarrantyContractItemType,xbrli:stringItemType
serialLotCommentItemType,xbrli:stringItemType
currencyItemType,xbrli:QNameItemType
exchangeRateItemType,xbrli:pureItemType
exchangeRateDateItemType,xbrli:dateTimeItemType
commentItemType,xbrli:stringItemType
exchangeRateSourceItemType,xbrli:stringItemType
exchangeRateTypeItemType,xbrli:stringItemType
tickingFieldItemType,xbrli:booleanItemType
documentRemainingBalanceItemType,xbrli:monetaryItemType
uniqueConsignmentReferenceItemType,xbrli:stringItemType
originatingDocumentNumberItemType,xbrli:stringItemType
originatingDocumentDateItemType,xbrli:dateItemType
originatingDocumentIdentifierCodeItemType,xbrli:stringItemType
originatingDocumentIdentifierTaxCodeItemType,xbrli:stringItemType
frequencyIntervalItemType,xbrli:decimalItemType
frequencyUnitItemType,xbrli:stringItemType
jobCodeItemType,xbrli:stringItemType
jobDescriptionItemType,xbrli:stringItemType
jobPhaseCodeItemType,xbrli:stringItemType
jobPhaseDescriptionItemType,xbrli:stringItemType
lastDateRepeatItemType,xbrli:dateTimeItemType
nextDateRepeatItemType,xbrli:dateTimeItemType
recurringStdDescriptionItemType,xbrli:stringItemType
repetitionsRemainingItemType,xbrli:integerItemType
reverseTypeItemType,xbrli:booleanItemType
reversingDateItemType,xbrli:dateTimeItemType
reversingStdIdItemType,xbrli:stringItemType
endDateRepeatingEntryItemType,xbrli:dateTimeItemType
gl-gen:phoneNumberItemType,xbrli:stringItemType
gl-gen:faxNumberUsageItemType,xbrli:stringItemType
gl-gen:faxNumberItemType,xbrli:stringItemType
gl-gen:emailAddressUsageItemType,xbrli:stringItemType
gl-gen:emailAddressItemType,xbrli:stringItemType
gl-gen:activeItemType,xbrli:booleanItemType
